WeldBeadWidth_expect,WeldBeadWidth_actual,Speed,Group,,parameter_1_group,,parameter_1_group
4.5,4.5,1.5,a,,4.5,,4.5
4,3.85,1.9,a,,4,,5.1
3.5,3.45,2.4,a,,3.5,,5.4
4.5,4.5,1.5,b,,,,4
5.1,5.1,1,b,,,,
5.4,5.45,0.8,b,,,,
4,3.95,1.9,b,,,,
4.5,4.6,1.5,c,,,,
4,3.65,1.9,c,,,,
3.5,3.25,2.4,c,,,,
4.5,4.45,1.5,d,,,,
4,3.9,1.9,d,,,,
3.5,3.6,2.4,d,,,,
4.5,4.5,1.5,e,,,,
5.1,5.05,1,e,,,,
5.4,5.55,0.8,e,,,,
4,3.95,1.9,e,,,,
4.5,4.6,1.5,f,,,,
5.1,5.05,1,f,,,,
5.4,4.4,1.5,f,,,,
4,4.1,1.9,f,,,,
4.5,4.4,1.5,g,,,,
5.1,5.67,1,g,,,,
5.4,5.35,0.8,g,,,,
4,4.6,1.9,g,,,,
